"Date","UZB","KGZ","TJK"
"1/1/2019 1:00","7703","2243","2075"
"1/1/2019 2:00","7383","2142","2009"
"1/1/2019 3:00","7117","2116","2015"
"1/1/2019 4:00","6877","2071","1965"
"1/1/2019 5:00","6804","2080","1949"
"1/1/2019 6:00","6833","2158","2022"
"1/1/2019 7:00","7171","2195","2241"
"1/1/2019 8:00","7352","2244","2435"
"1/1/2019 9:00","7422","2276","2399"
"1/1/2019 10:00","7556","2266","2347"
"1/1/2019 11:00","7504","2215","2347"
"1/1/2019 12:00","7462","2237","2337"
"1/1/2019 13:00","7343","2200","2327"
"1/1/2019 14:00","7275","2174","2249"
"1/1/2019 15:00","7407","2185","2244"
"1/1/2019 16:00","7674","2281","2245"
"1/1/2019 17:00","8001","2542","2490"
"1/1/2019 18:00","8523","2570","2704"
"1/1/2019 19:00","8553","2579","2682"
"1/1/2019 20:00","8502","2538","2603"
"1/1/2019 21:00","8402","2495","2513"
"1/1/2019 22:00","8088","2406","2391"
"1/1/2019 23:00","7682","2134","2220"
"1/2/2019 0:00","7258","2159","2167"
"1/2/2019 1:00","7116","2068","2045"
"1/2/2019 2:00","6797","2034","2024"
"1/2/2019 3:00","6801","2037","1971"
"1/2/2019 4:00","6680","2038","2001"
"1/2/2019 5:00","6865","2071","2032"
"1/2/2019 6:00","6882","2165","2158"
"1/2/2019 7:00","7295","2233","2328"
"1/2/2019 8:00","7779","2354","2582"
"1/2/2019 9:00","7932","2438","2531"
"1/2/2019 10:00","8003","2454","2469"
"1/2/2019 11:00","8055","2406","2453"
"1/2/2019 12:00","8025","2403","2465"
"1/2/2019 13:00","8006","2353","2412"
"1/2/2019 14:00","7894","2347","2364"
"1/2/2019 15:00","7866","2360","2296"
"1/2/2019 16:00","7899","2403","2350"
"1/2/2019 17:00","8377","2571","2447"
"1/2/2019 18:00","9065","2693","2764"
"1/2/2019 19:00","8904","2656","2686"
"1/2/2019 20:00","8634","2604","2608"
"1/2/2019 21:00","8618","2581","2571"
"1/2/2019 22:00","8405","2489","2462"
"1/2/2019 23:00","7940","2364","2288"
"1/3/2019 0:00","7540","2195","2169"
"1/3/2019 1:00","7279","2175","2066"
"1/3/2019 2:00","7071","2113","2040"
"1/3/2019 3:00","7051","2117","2002"
"1/3/2019 4:00","6978","2085","2003"
"1/3/2019 5:00","7064","2181","2066"
"1/3/2019 6:00","7294","2301","2221"
"1/3/2019 7:00","7708","2381","2510"
"1/3/2019 8:00","8088","2384","2654"
"1/3/2019 9:00","8121","2450","2530"
"1/3/2019 10:00","8051","2418","2385"
"1/3/2019 11:00","7997","2401","2321"
"1/3/2019 12:00","7869","2330","2261"
"1/3/2019 13:00","7796","2268","2179"
"1/3/2019 14:00","7716","2226","2142"
"1/3/2019 15:00","7782","2276","2087"
"1/3/2019 16:00","7877","2287","2136"
"1/3/2019 17:00","8234","2567","2484"
"1/3/2019 18:00","9110","2689","2787"
"1/3/2019 19:00","9072","2675","2713"
"1/3/2019 20:00","9018","2556","2667"
"1/3/2019 21:00","8890","2476","2615"
"1/3/2019 22:00","8520","2383","2531"
"1/3/2019 23:00","8063","2309","2281"
"1/4/2019 0:00","7669","2168","2236"
"1/4/2019 1:00","7355","2016","2072"
"1/4/2019 2:00","7258","2010","2026"
"1/4/2019 3:00","7224","1940","2010"
"1/4/2019 4:00","7137","1973","2030"
"1/4/2019 5:00","7275","2003","2036"
"1/4/2019 6:00","7533","2218","2272"
"1/4/2019 7:00","8044","2368","2549"
"1/4/2019 8:00","8355","2442","2699"
